areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,07/07/2021,27516,4334634
nation,England,E92000001,06/07/2021,25295,4307618
nation,England,E92000001,05/07/2021,23286,4282762
nation,England,E92000001,04/07/2021,20454,4259710
nation,England,E92000001,03/07/2021,21317,4239686
nation,England,E92000001,02/07/2021,22393,4218807
nation,England,E92000001,01/07/2021,22948,4196833
nation,England,E92000001,30/06/2021,21293,4174318
nation,England,E92000001,29/06/2021,16802,4153487
nation,England,E92000001,28/06/2021,18702,4136940
nation,England,E92000001,27/06/2021,11560,4118462
nation,England,E92000001,26/06/2021,15136,4107155
nation,England,E92000001,25/06/2021,13498,4092346
nation,England,E92000001,24/06/2021,13068,4079362
nation,England,E92000001,23/06/2021,12765,4066294
nation,England,E92000001,22/06/2021,9096,4053782
nation,England,E92000001,21/06/2021,8766,4044830
nation,England,E92000001,20/06/2021,7778,4036230
nation,England,E92000001,19/06/2021,8954,4028664
nation,England,E92000001,18/06/2021,9185,4019956
nation,England,E92000001,17/06/2021,9371,4010977
nation,England,E92000001,16/06/2021,7642,4001803
nation,England,E92000001,15/06/2021,6486,3994408
nation,England,E92000001,14/06/2021,6647,3988008
nation,England,E92000001,13/06/2021,6269,3981497
nation,England,E92000001,12/06/2021,6601,3975399
nation,England,E92000001,11/06/2021,6782,3968986
nation,England,E92000001,10/06/2021,6436,3962371
nation,England,E92000001,09/06/2021,6201,3956096
nation,England,E92000001,08/06/2021,5250,3950123
nation,England,E92000001,07/06/2021,4913,3944955
nation,England,E92000001,06/06/2021,4405,3940141
nation,England,E92000001,05/06/2021,4810,3935854
nation,England,E92000001,04/06/2021,5102,3931158
nation,England,E92000001,03/06/2021,4310,3926154
nation,England,E92000001,02/06/2021,3486,3921939
nation,England,E92000001,01/06/2021,2539,3918522
nation,England,E92000001,31/05/2021,2854,3916049
nation,England,E92000001,30/05/2021,2621,3913295
nation,England,E92000001,29/05/2021,2747,3910803
nation,England,E92000001,28/05/2021,3434,3908214
nation,England,E92000001,27/05/2021,2936,3904934
nation,England,E92000001,26/05/2021,2540,3902160
nation,England,E92000001,25/05/2021,2081,3899813
nation,England,E92000001,24/05/2021,1972,3897815
nation,England,E92000001,23/05/2021,1734,3895920
nation,England,E92000001,22/05/2021,2242,3894329
nation,England,E92000001,21/05/2021,2303,3892258
nation,England,E92000001,20/05/2021,2307,3890081
nation,England,E92000001,19/05/2021,2151,3887954
nation,England,E92000001,18/05/2021,2008,3886364
nation,England,E92000001,17/05/2021,1645,3889132
nation,England,E92000001,16/05/2021,1471,3887487
nation,England,E92000001,15/05/2021,1614,3886016
nation,England,E92000001,14/05/2021,1828,3884402
nation,England,E92000001,13/05/2021,2229,3882574
