Region,Total (1),White ,"Black, Asian and minority ethnic ",Percentage minority ethnicities
Wales ,3127100,2948000,174900,5.6
Isle of Anglesey ,69800,69600,*,*
Gwynedd ,123300,120100,3100,2.5
Conwy ,115000,111900,3000,2.6
Denbighshire ,95400,91600,3600,3.8
Flintshire ,156600,152200,4400,2.8
Wrexham ,139800,136600,3100,2.2
Powys ,130000,128300,1700,1.3
Ceredigion ,75700,74300,1300,1.7
Pembrokeshire ,125600,123900,1700,1.3
Carmarthenshire ,184200,176800,7400,4
Swansea ,245700,223300,20900,8.5
Neath Port Talbot ,140500,137900,2400,1.7
Bridgend ,142300,138500,3700,2.6
Vale of Glamorgan ,127400,124600,2700,2.1
Cardiff ,372300,296200,74700,20.1
Rhondda Cynon Taf ,239300,229700,9500,4
Merthyr Tydfil ,59400,58100,1300,2.2
Caerphilly ,181600,178700,2800,1.6
Blaenau Gwent ,69200,67800,1300,1.9
Torfaen ,92200,89200,3000,3.3
Monmouthshire ,92000,88800,3200,3.5
Newport ,149800,130000,19800,13.2
